timestamp,tag,seeds,fold,range,sd,values
2026-09-21 06:59 UTC,champion_config_148,"42,7,1234",fold1,0.00421,0.0022,"1.4273,1.4241,1.4283"
2026-09-21 06:59 UTC,champion_config_148,"42,7,1234",fold2,0.00169,0.00096,"1.3786,1.3787,1.3803"
2026-09-21 06:59 UTC,champion_config_148,"42,7,1234",fold3,0.00322,0.00168,"1.3682,1.3715,1.3707"
2026-09-21 06:59 UTC,champion_config_148,"42,7,1234",fold4,0.00399,0.002,"1.3383,1.3401,1.3423"
2026-09-21 06:59 UTC,champion_config_148,"42,7,1234",fold5,0.00819,0.00415,"1.3514,1.3462,1.3544"
2026-09-21 06:59 UTC,champion_config_148,"42,7,1234",MEAN,0.00308,0.00162,"1.3728,1.3721,1.3752"
